Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
Karna ... oligarki gak suka sama pak Purbaya ...gara gara gak mau pinjam duit ke IMF 😂😂😂😂😂,@PRIKARDO21,5,Netral,Karna oligarki gak suka sama pak Purbaya gara gara gak mau pinjam duit ke IMF,karna oligarki gak suka sama pak purbaya gara gara gak mau pinjam duit ke imf,"['karna', 'oligarki', 'gak', 'suka', 'sama', 'pak', 'purbaya', 'gara', 'gara', 'gak', 'mau', 'pinjam', 'duit', 'ke', 'imf']","['karna', 'oligarki', 'gak', 'suka', 'sama', 'pak', 'purbaya', 'gara', 'gara', 'gak', 'mau', 'pinjam', 'duit', 'imf']",karna oligarki gak suka sama pak purbaya gara gara gak mau pinjam duit imf
"Tidak akan, kalo di dowgrade brrti emg sialnya indo dalam agenda 😂",@arifmunandar6267,0,Netral,Tidak akan kalo di dowgrade brrti emg sialnya indo dalam agenda,tidak akan kalo di dowgrade brrti emg sialnya indo dalam agenda,"['tidak', 'akan', 'kalo', 'di', 'dowgrade', 'brrti', 'emg', 'sialnya', 'indo', 'dalam', 'agenda']","['tidak', 'akan', 'kalo', 'dowgrade', 'brrti', 'emg', 'sialnya', 'indo', 'dalam', 'agenda']",tidak akan kalo dowgrade brrti emg sial indo dalam agenda
Bikin malu warga indonesia sendiri yg ketua negaranya omon omon tapi hanya tinggal janji omon di mulut sedangkan rakyatnya susah menderita.Bodoh amat sih pemerintah indonesia.Gak sperti Anuar Ibrahim yg sering berjumpa ketua negara lain buat rundingan perkuatkan ekonomi.,@JackoBrand,1,Netral,Bikin malu warga indonesia sendiri yg ketua negaranya omon omon tapi hanya tinggal janji omon di mulut sedangkan rakyatnya susah menderitaBodoh amat sih pemerintah indonesiaGak sperti Anuar Ibrahim yg sering berjumpa ketua negara lain buat rundingan perkuatkan ekonomi,bikin malu warga indonesia sendiri yg ketua negaranya omon omon tapi hanya tinggal janji omon di mulut sedangkan rakyatnya susah menderitabodoh amat sih pemerintah indonesiagak sperti anuar ibrahim yg sering berjumpa ketua negara lain buat rundingan perkuatkan ekonomi,"['bikin', 'malu', 'warga', 'indonesia', 'sendiri', 'yg', 'ketua', 'negaranya', 'omon', 'omon', 'tapi', 'hanya', 'tinggal', 'janji', 'omon', 'di', 'mulut', 'sedangkan', 'rakyatnya', 'susah', 'menderitabodoh', 'amat', 'sih', 'pemerintah', 'indonesiagak', 'sperti', 'anuar', 'ibrahim', 'yg', 'sering', 'berjumpa', 'ketua', 'negara', 'lain', 'buat', 'rundingan', 'perkuatkan', 'ekonomi']","['bikin', 'malu', 'warga', 'indonesia', 'sendiri', 'yg', 'ketua', 'negaranya', 'omon', 'omon', 'tapi', 'hanya', 'tinggal', 'janji', 'omon', 'mulut', 'sedangkan', 'rakyatnya', 'susah', 'menderitabodoh', 'amat', 'sih', 'pemerintah', 'indonesiagak', 'sperti', 'anuar', 'ibrahim', 'yg', 'sering', 'berjumpa', 'ketua', 'negara', 'lain', 'buat', 'rundingan', 'perkuatkan', 'ekonomi']",bikin malu warga indonesia sendiri yg ketua negara omon omon tapi hanya tinggal janji omon mulut sedang rakyat susah menderitabodoh amat sih perintah indonesiagak sperti anuar ibrahim yg sering jumpa ketua negara lain buat runding kuat ekonomi
"Termasuk Pendemo kemarin, Teriak-teriak Mulu"" Indonesia Gelap""... Tapi emang bener sih pas mati lampu kemarin 😂",@bambangharibowo,1,Netral,Termasuk Pendemo kemarin Teriakteriak Mulu Indonesia Gelap Tapi emang bener sih pas mati lampu kemarin,termasuk pendemo kemarin teriakteriak mulu indonesia gelap tapi emang bener sih pas mati lampu kemarin,"['termasuk', 'pendemo', 'kemarin', 'teriakteriak', 'mulu', 'indonesia', 'gelap', 'tapi', 'emang', 'bener', 'sih', 'pas', 'mati', 'lampu', 'kemarin']","['termasuk', 'pendemo', 'kemarin', 'teriakteriak', 'mulu', 'indonesia', 'gelap', 'tapi', 'emang', 'bener', 'sih', 'pas', 'mati', 'lampu', 'kemarin']",masuk demo kemarin teriakteriak mulu indonesia gelap tapi emang bener sih pas mati lampu kemarin
"ya biar mereka dapet barang murah, ketika di dorong naik nanti, mreka cuan",@edo..11,1,Netral,ya biar mereka dapet barang murah ketika di dorong naik nanti mreka cuan,ya biar mereka dapet barang murah ketika di dorong naik nanti mreka cuan,"['ya', 'biar', 'mereka', 'dapet', 'barang', 'murah', 'ketika', 'di', 'dorong', 'naik', 'nanti', 'mreka', 'cuan']","['ya', 'biar', 'mereka', 'dapet', 'barang', 'murah', 'ketika', 'dorong', 'naik', 'nanti', 'mreka', 'cuan']",ya biar mereka dapet barang murah ketika dorong naik nanti mreka cuan
Bennix the best investasi dan data,@TaniSembodo,1,Netral,Bennix the best investasi dan data,bennix the best investasi dan data,"['bennix', 'the', 'best', 'investasi', 'dan', 'data']","['bennix', 'the', 'best', 'investasi', 'data']",bennix the best investasi data
dani dani,@정직한씨,0,Netral,dani dani,dani dani,"['dani', 'dani']","['dani', 'dani']",dan dan
Media TEMPEK jangan di percaya 😅,@wasyuanwasyuanto3172,0,Netral,Media TEMPEK jangan di percaya,media tempek jangan di percaya,"['media', 'tempek', 'jangan', 'di', 'percaya']","['media', 'tempek', 'jangan', 'percaya']",media tempek jangan percaya
"Mantap.
Menurut sy bursa saham merupakan salah satu instrument demokrasi mudah sekali org yg punya dana besar mempermain negara tujuan nya.
Maaf itu menurut sy.
Ke dua, coba dibahas tentang pasal 50A UU P2SK yg di sah kan 4 Juni 2026.
Katanya pencucian uang yg diresmikan oleh UU. 
Terima kasih sebelum nya bro Bennix.
Semakin sukses ya. 
Amin.
Apa benar bro Bennix?",@masnawisapar3145,0,Positif,Mantap Menurut sy bursa saham merupakan salah satu instrument demokrasi mudah sekali org yg punya dana besar mempermain negara tujuan nya Maaf itu menurut sy Ke dua coba dibahas tentang pasal A UU PSK yg di sah kan Juni Katanya pencucian uang yg diresmikan oleh UU Terima kasih sebelum nya bro Bennix Semakin sukses ya Amin Apa benar bro Bennix,mantap menurut sy bursa saham merupakan salah satu instrument demokrasi mudah sekali org yg punya dana besar mempermain negara tujuan nya maaf itu menurut sy ke dua coba dibahas tentang pasal a uu psk yg di sah kan juni katanya pencucian uang yg diresmikan oleh uu terima kasih sebelum nya bro bennix semakin sukses ya amin apa benar bro bennix,"['mantap', 'menurut', 'sy', 'bursa', 'saham', 'merupakan', 'salah', 'satu', 'instrument', 'demokrasi', 'mudah', 'sekali', 'org', 'yg', 'punya', 'dana', 'besar', 'mempermain', 'negara', 'tujuan', 'nya', 'maaf', 'itu', 'menurut', 'sy', 'ke', 'dua', 'coba', 'dibahas', 'tentang', 'pasal', 'a', 'uu', 'psk', 'yg', 'di', 'sah', 'kan', 'juni', 'katanya', 'pencucian', 'uang', 'yg', 'diresmikan', 'oleh', 'uu', 'terima', 'kasih', 'sebelum', 'nya', 'bro', 'bennix', 'semakin', 'sukses', 'ya', 'amin', 'apa', 'benar', 'bro', 'bennix']","['mantap', 'menurut', 'sy', 'bursa', 'saham', 'merupakan', 'salah', 'satu', 'instrument', 'demokrasi', 'mudah', 'sekali', 'org', 'yg', 'punya', 'dana', 'besar', 'mempermain', 'negara', 'tujuan', 'nya', 'maaf', 'menurut', 'sy', 'dua', 'coba', 'dibahas', 'tentang', 'pasal', 'a', 'uu', 'psk', 'yg', 'sah', 'kan', 'juni', 'katanya', 'pencucian', 'uang', 'yg', 'diresmikan', 'oleh', 'uu', 'terima', 'kasih', 'sebelum', 'nya', 'bro', 'bennix', 'semakin', 'sukses', 'ya', 'amin', 'apa', 'benar', 'bro', 'bennix']",mantap turut sy bursa saham rupa salah satu instrument demokrasi mudah sekali org yg punya dana besar main negara tuju nya maaf turut sy dua coba bahas tentang pasal a uu psk yg sah kan juni kata cuci uang yg resmi oleh uu terima kasih belum nya bro bennix makin sukses ya amin apa benar bro bennix
Lha itu kan perang narasi.... perang hoax.... perang kekacauan....,@cpadmaa3padmanaba,0,Netral,Lha itu kan perang narasi perang hoax perang kekacauan,lha itu kan perang narasi perang hoax perang kekacauan,"['lha', 'itu', 'kan', 'perang', 'narasi', 'perang', 'hoax', 'perang', 'kekacauan']","['lha', 'kan', 'perang', 'narasi', 'perang', 'hoax', 'perang', 'kekacauan']",lha kan perang narasi perang hoax perang kacau
"Bang Benix, Portofolionya Merah atau Hijau ya? 😊",@awilas-jj2je,0,Netral,Bang Benix Portofolionya Merah atau Hijau ya,bang benix portofolionya merah atau hijau ya,"['bang', 'benix', 'portofolionya', 'merah', 'atau', 'hijau', 'ya']","['bang', 'benix', 'portofolionya', 'merah', 'hijau', 'ya']",bang benix portofolio merah hijau ya
Msci=occrp,@chozinudin5825,0,Netral,Mscioccrp,mscioccrp,['mscioccrp'],['mscioccrp'],mscioccrp
"sekurang2nya influencer itu,, membuka portofolionya yg minus, lu mana portofolio lu ben,,masa ijoooooooo",@yudhistirajo6899,0,Netral,sekurangnya influencer itu membuka portofolionya yg minus lu mana portofolio lu benmasa ijoooooooo,sekurangnya influencer itu membuka portofolionya yg minus lu mana portofolio lu benmasa ijoooooooo,"['sekurangnya', 'influencer', 'itu', 'membuka', 'portofolionya', 'yg', 'minus', 'lu', 'mana', 'portofolio', 'lu', 'benmasa', 'ijoooooooo']","['sekurangnya', 'influencer', 'membuka', 'portofolionya', 'yg', 'minus', 'lu', 'mana', 'portofolio', 'lu', 'benmasa', 'ijoooooooo']",kurang influencer buka portofolio yg minus lu mana portofolio lu benmasa ijoooooooo
"Bang mau tanya, si dadan babi, anjing, biadab ,tai itu termasuk antek soros bukan bang?",@gloryoigracelyn144,0,Netral,Bang mau tanya si dadan babi anjing biadab tai itu termasuk antek soros bukan bang,bang mau tanya si dadan babi anjing biadab tai itu termasuk antek soros bukan bang,"['bang', 'mau', 'tanya', 'si', 'dadan', 'babi', 'anjing', 'biadab', 'tai', 'itu', 'termasuk', 'antek', 'soros', 'bukan', 'bang']","['bang', 'mau', 'tanya', 'si', 'dadan', 'babi', 'anjing', 'biadab', 'tai', 'termasuk', 'antek', 'soros', 'bukan', 'bang']",bang mau tanya si dad babi anjing biadab tai masuk antek soros bukan bang
Hoax terjadi karena malas membaca laporan 77 halaman. Akahirnya yang memakan berita yang malam-malas itu,@maulcaem,0,Netral,Hoax terjadi karena malas membaca laporan halaman Akahirnya yang memakan berita yang malammalas itu,hoax terjadi karena malas membaca laporan halaman akahirnya yang memakan berita yang malammalas itu,"['hoax', 'terjadi', 'karena', 'malas', 'membaca', 'laporan', 'halaman', 'akahirnya', 'yang', 'memakan', 'berita', 'yang', 'malammalas', 'itu']","['hoax', 'terjadi', 'malas', 'membaca', 'laporan', 'halaman', 'akahirnya', 'memakan', 'berita', 'malammalas']",hoax jadi malas baca lapor halaman akahirnya makan berita malammalas
bang bennix apakah IHSG bisa rebound?,@masterkombak7834,0,Netral,bang bennix apakah IHSG bisa rebound,bang bennix apakah ihsg bisa rebound,"['bang', 'bennix', 'apakah', 'ihsg', 'bisa', 'rebound']","['bang', 'bennix', 'apakah', 'ihsg', 'bisa', 'rebound']",bang bennix apakah ihsg bisa rebound
hiburan nonton om bennix merepet ngomel2,@keyaysatoh1271,0,Netral,hiburan nonton om bennix merepet ngomel,hiburan nonton om bennix merepet ngomel,"['hiburan', 'nonton', 'om', 'bennix', 'merepet', 'ngomel']","['hiburan', 'nonton', 'om', 'bennix', 'merepet', 'ngomel']",hibur nonton om bennix repet ngomel
🤣👍,@hakeemdj368,0,Netral,,,[],[],
Penjilat yahudi,@bryan-h9p2y,0,Netral,Penjilat yahudi,penjilat yahudi,"['penjilat', 'yahudi']","['penjilat', 'yahudi']",jilat yahudi
Lo saja yg susah koar koar😂😂😂😂😂,@MawarBiru-q9i7q,1,Netral,Lo saja yg susah koar koar,lo saja yg susah koar koar,"['lo', 'saja', 'yg', 'susah', 'koar', 'koar']","['lo', 'saja', 'yg', 'susah', 'koar', 'koar']",lo saja yg susah koar koar
"Bahaya sekali propaganda netizen,profesor,media tolol..demo bayaran...ingin indonesia gelap",@isharyadi4307,0,Netral,Bahaya sekali propaganda netizenprofesormedia tololdemo bayaraningin indonesia gelap,bahaya sekali propaganda netizenprofesormedia tololdemo bayaraningin indonesia gelap,"['bahaya', 'sekali', 'propaganda', 'netizenprofesormedia', 'tololdemo', 'bayaraningin', 'indonesia', 'gelap']","['bahaya', 'sekali', 'propaganda', 'netizenprofesormedia', 'tololdemo', 'bayaraningin', 'indonesia', 'gelap']",bahaya sekali propaganda netizenprofesormedia tololdemo bayaraningin indonesia gelap
dimedsos banyak hoax buzer2 yg gak suka pemerintah....,@rhmt7314,9,Netral,dimedsos banyak hoax buzer yg gak suka pemerintah,dimedsos banyak hoax buzer yg gak suka pemerintah,"['dimedsos', 'banyak', 'hoax', 'buzer', 'yg', 'gak', 'suka', 'pemerintah']","['dimedsos', 'banyak', 'hoax', 'buzer', 'yg', 'gak', 'suka', 'pemerintah']",dimedsos banyak hoax buzer yg gak suka perintah
Gmn ada keterbukaan? RUPS online aja dihalang halangi masuk,@neneklampir6664,0,Netral,Gmn ada keterbukaan RUPS online aja dihalang halangi masuk,gmn ada keterbukaan rups online aja dihalang halangi masuk,"['gmn', 'ada', 'keterbukaan', 'rups', 'online', 'aja', 'dihalang', 'halangi', 'masuk']","['gmn', 'ada', 'keterbukaan', 'rups', 'online', 'aja', 'dihalang', 'halangi', 'masuk']",gmn ada buka rups online aja halang halang masuk
IHSG mulai ngaca yuk...,@slametahmad5767,0,Netral,IHSG mulai ngaca yuk,ihsg mulai ngaca yuk,"['ihsg', 'mulai', 'ngaca', 'yuk']","['ihsg', 'mulai', 'ngaca', 'yuk']",ihsg mulai ngaca yuk
Keep cerahkan para umat ini bang... Banyak yg terhipnotis para anjing2 Soros nih..,@ranggareviella5999,0,Netral,Keep cerahkan para umat ini bang Banyak yg terhipnotis para anjing Soros nih,keep cerahkan para umat ini bang banyak yg terhipnotis para anjing soros nih,"['keep', 'cerahkan', 'para', 'umat', 'ini', 'bang', 'banyak', 'yg', 'terhipnotis', 'para', 'anjing', 'soros', 'nih']","['keep', 'cerahkan', 'para', 'umat', 'bang', 'banyak', 'yg', 'terhipnotis', 'para', 'anjing', 'soros', 'nih']",keep cerah para umat bang banyak yg hipnotis para anjing soros nih
Musuh Negara di Gerakan oleh Negara Singapura Malaysia Australia yang takut Indonesia berdaulat,@KaryaDarmus,29,Netral,Musuh Negara di Gerakan oleh Negara Singapura Malaysia Australia yang takut Indonesia berdaulat,musuh negara di gerakan oleh negara singapura malaysia australia yang takut indonesia berdaulat,"['musuh', 'negara', 'di', 'gerakan', 'oleh', 'negara', 'singapura', 'malaysia', 'australia', 'yang', 'takut', 'indonesia', 'berdaulat']","['musuh', 'negara', 'gerakan', 'oleh', 'negara', 'singapura', 'malaysia', 'australia', 'takut', 'indonesia', 'berdaulat']",musuh negara gera oleh negara singapura malaysia australia takut indonesia daulat
"Semoga Bang Bennix ttp diluar kekuasaan. Biar tdk dituduh bajer.
Klo sdh msk kekuasaan pesan yg disampaikan jd gk sampe susah ditrm org awam.",@zigorpachulskov552,0,Netral,Semoga Bang Bennix ttp diluar kekuasaan Biar tdk dituduh bajer Klo sdh msk kekuasaan pesan yg disampaikan jd gk sampe susah ditrm org awam,semoga bang bennix ttp diluar kekuasaan biar tdk dituduh bajer klo sdh msk kekuasaan pesan yg disampaikan jd gk sampe susah ditrm org awam,"['semoga', 'bang', 'bennix', 'ttp', 'diluar', 'kekuasaan', 'biar', 'tdk', 'dituduh', 'bajer', 'klo', 'sdh', 'msk', 'kekuasaan', 'pesan', 'yg', 'disampaikan', 'jd', 'gk', 'sampe', 'susah', 'ditrm', 'org', 'awam']","['semoga', 'bang', 'bennix', 'ttp', 'diluar', 'kekuasaan', 'biar', 'tdk', 'dituduh', 'bajer', 'klo', 'sdh', 'msk', 'kekuasaan', 'pesan', 'yg', 'disampaikan', 'jd', 'gk', 'sampe', 'susah', 'ditrm', 'org', 'awam']",moga bang bennix ttp luar kuasa biar tdk tuduh bajer klo sdh msk kuasa pesan yg sampai jd gk sampe susah ditrm org awam
"BG benix, coba buat konten si Tiyo atau si bodoh yg malang",@AkunOppo-n8j,0,Netral,BG benix coba buat konten si Tiyo atau si bodoh yg malang,bg benix coba buat konten si tiyo atau si bodoh yg malang,"['bg', 'benix', 'coba', 'buat', 'konten', 'si', 'tiyo', 'atau', 'si', 'bodoh', 'yg', 'malang']","['bg', 'benix', 'coba', 'buat', 'konten', 'si', 'tiyo', 'si', 'bodoh', 'yg', 'malang']",bg benix coba buat konten si tiyo si bodoh yg malang
"Entah kenapa, Pak Ben cocok jadi Direktur Perdagangan & Pengaturan Anggota Bursa (BEI) ketimbang Walikota.",@ervyloam5603,1,Netral,Entah kenapa Pak Ben cocok jadi Direktur Perdagangan Pengaturan Anggota Bursa BEI ketimbang Walikota,entah kenapa pak ben cocok jadi direktur perdagangan pengaturan anggota bursa bei ketimbang walikota,"['entah', 'kenapa', 'pak', 'ben', 'cocok', 'jadi', 'direktur', 'perdagangan', 'pengaturan', 'anggota', 'bursa', 'bei', 'ketimbang', 'walikota']","['entah', 'kenapa', 'pak', 'ben', 'cocok', 'jadi', 'direktur', 'perdagangan', 'pengaturan', 'anggota', 'bursa', 'bei', 'ketimbang', 'walikota']",entah kenapa pak ben cocok jadi direktur dagang atur anggota bursa bei ketimbang walikota
BACOD SANGKUTER GOTO,@PamanStalin,0,Netral,BACOD SANGKUTER GOTO,bacod sangkuter goto,"['bacod', 'sangkuter', 'goto']","['bacod', 'sangkuter', 'goto']",bacod sangkuter goto
4:30 Quotes of the Year !!!. #Bennix,@cipoygaming,0,Netral,Quotes of the Year,quotes of the year,"['quotes', 'of', 'the', 'year']","['quotes', 'of', 'the', 'year']",quotes of the year
Sukses selalu bg Bennik.....,@Rasca-w3c,7,Positif,Sukses selalu bg Bennik,sukses selalu bg bennik,"['sukses', 'selalu', 'bg', 'bennik']","['sukses', 'selalu', 'bg', 'bennik']",sukses selalu bg bennik
Alhamdulillah prediksi para pengamat ekonomi independen menjadi kenyataan. Bennix sebagai buzzer rezim omon-omon semakin stres berat.,@SaijoRahmat,0,Netral,Alhamdulillah prediksi para pengamat ekonomi independen menjadi kenyataan Bennix sebagai buzzer rezim omonomon semakin stres berat,alhamdulillah prediksi para pengamat ekonomi independen menjadi kenyataan bennix sebagai buzzer rezim omonomon semakin stres berat,"['alhamdulillah', 'prediksi', 'para', 'pengamat', 'ekonomi', 'independen', 'menjadi', 'kenyataan', 'bennix', 'sebagai', 'buzzer', 'rezim', 'omonomon', 'semakin', 'stres', 'berat']","['alhamdulillah', 'prediksi', 'para', 'pengamat', 'ekonomi', 'independen', 'menjadi', 'kenyataan', 'bennix', 'sebagai', 'buzzer', 'rezim', 'omonomon', 'semakin', 'stres', 'berat']",alhamdulillah prediksi para amat ekonomi independen jadi nyata bennix bagai buzzer rezim omonomon makin stres berat
kita kalah sama malaysia & China,@JoTimothyZiv,0,Netral,kita kalah sama malaysia China,kita kalah sama malaysia china,"['kita', 'kalah', 'sama', 'malaysia', 'china']","['kalah', 'sama', 'malaysia', 'china']",kalah sama malaysia china
"Kenapa? 
K A R E N A    D I B I A R K A N ! ! !",@adralia23,1,Netral,Kenapa K A R E N A D I B I A R K A N,kenapa k a r e n a d i b i a r k a n,"['kenapa', 'k', 'a', 'r', 'e', 'n', 'a', 'd', 'i', 'b', 'i', 'a', 'r', 'k', 'a', 'n']","['kenapa', 'k', 'a', 'r', 'e', 'n', 'a', 'd', 'i', 'b', 'i', 'a', 'r', 'k', 'a', 'n']",kenapa k a r e n a d i b i a r k a n
Udah boleh beli blum bwang?🐒,@johan109,0,Netral,Udah boleh beli blum bwang,udah boleh beli blum bwang,"['udah', 'boleh', 'beli', 'blum', 'bwang']","['udah', 'boleh', 'beli', 'blum', 'bwang']",udah boleh beli blum bwang
JAYALAH INDONESIA 🇮🇩🔥,@akuberlian,52,Netral,JAYALAH INDONESIA,jayalah indonesia,"['jayalah', 'indonesia']","['jayalah', 'indonesia']",jaya indonesia
Ini negara binatang nggak heranlah,@AndiLanting,0,Netral,Ini negara binatang nggak heranlah,ini negara binatang nggak heranlah,"['ini', 'negara', 'binatang', 'nggak', 'heranlah']","['negara', 'binatang', 'nggak', 'heranlah']",negara binatang nggak heran
Pokokny rumusny adalah smakin bnyk yg BERISIK artinya pemerintah sdg di jalan yg benar.,@dianardi6574,0,Netral,Pokokny rumusny adalah smakin bnyk yg BERISIK artinya pemerintah sdg di jalan yg benar,pokokny rumusny adalah smakin bnyk yg berisik artinya pemerintah sdg di jalan yg benar,"['pokokny', 'rumusny', 'adalah', 'smakin', 'bnyk', 'yg', 'berisik', 'artinya', 'pemerintah', 'sdg', 'di', 'jalan', 'yg', 'benar']","['pokokny', 'rumusny', 'smakin', 'bnyk', 'yg', 'berisik', 'artinya', 'pemerintah', 'sdg', 'jalan', 'yg', 'benar']",pokokny rumusny smakin bnyk yg berisik arti perintah sdg jalan yg benar
"NAH GITU BPK BENIX..HARUS DI JELASKAN SECARA DETAIL
PENCERAHAN NYA SANGAT BGS..JADI MEREKA MENGERTI
MANA YG BENAR DAN TIDAK",@DewandaSyahputra,1,Netral,NAH GITU BPK BENIXHARUS DI JELASKAN SECARA DETAIL PENCERAHAN NYA SANGAT BGSJADI MEREKA MENGERTI MANA YG BENAR DAN TIDAK,nah gitu bpk benixharus di jelaskan secara detail pencerahan nya sangat bgsjadi mereka mengerti mana yg benar dan tidak,"['nah', 'gitu', 'bpk', 'benixharus', 'di', 'jelaskan', 'secara', 'detail', 'pencerahan', 'nya', 'sangat', 'bgsjadi', 'mereka', 'mengerti', 'mana', 'yg', 'benar', 'dan', 'tidak']","['nah', 'gitu', 'bpk', 'benixharus', 'jelaskan', 'secara', 'detail', 'pencerahan', 'nya', 'sangat', 'bgsjadi', 'mereka', 'mengerti', 'mana', 'yg', 'benar', 'tidak']",nah gitu bpk benixharus jelas cara detail cerah nya sangat bgsjadi mereka erti mana yg benar tidak
Biasa. Barisan sakit hati bro.,@ThePalmbank,0,Netral,Biasa Barisan sakit hati bro,biasa barisan sakit hati bro,"['biasa', 'barisan', 'sakit', 'hati', 'bro']","['biasa', 'barisan', 'sakit', 'hati', 'bro']",biasa baris sakit hati bro
"Hampir semua media2 di negara kita kontra dg pemerintah,menurut ku channel ini dan channel nya prof Gema bagus,karena di samping mengkritik pemrintah,tapi juga memberi saran ke pemerintah,dan juga memberi idukasi ke masyarakat,nggak kayak yg lain hanya nyiyir dan menakuti rakyat sj",@EraEra-qz2be,0,Positif,Hampir semua media di negara kita kontra dg pemerintahmenurut ku channel ini dan channel nya prof Gema baguskarena di samping mengkritik pemrintahtapi juga memberi saran ke pemerintahdan juga memberi idukasi ke masyarakatnggak kayak yg lain hanya nyiyir dan menakuti rakyat sj,hampir semua media di negara kita kontra dg pemerintahmenurut ku channel ini dan channel nya prof gema baguskarena di samping mengkritik pemrintahtapi juga memberi saran ke pemerintahdan juga memberi idukasi ke masyarakatnggak kayak yg lain hanya nyiyir dan menakuti rakyat sj,"['hampir', 'semua', 'media', 'di', 'negara', 'kita', 'kontra', 'dg', 'pemerintahmenurut', 'ku', 'channel', 'ini', 'dan', 'channel', 'nya', 'prof', 'gema', 'baguskarena', 'di', 'samping', 'mengkritik', 'pemrintahtapi', 'juga', 'memberi', 'saran', 'ke', 'pemerintahdan', 'juga', 'memberi', 'idukasi', 'ke', 'masyarakatnggak', 'kayak', 'yg', 'lain', 'hanya', 'nyiyir', 'dan', 'menakuti', 'rakyat', 'sj']","['hampir', 'semua', 'media', 'negara', 'kontra', 'dg', 'pemerintahmenurut', 'ku', 'channel', 'channel', 'nya', 'prof', 'gema', 'baguskarena', 'samping', 'mengkritik', 'pemrintahtapi', 'memberi', 'saran', 'pemerintahdan', 'memberi', 'idukasi', 'masyarakatnggak', 'kayak', 'yg', 'lain', 'hanya', 'nyiyir', 'menakuti', 'rakyat', 'sj']",hampir semua media negara kontra dg pemerintahmenurut ku channel channel nya prof gema baguskarena samping kritik pemrintahtapi beri saran pemerintahdan beri idukasi masyarakatnggak kayak yg lain hanya nyiyir takut rakyat sj
si Refly harun 😂,@paperplastikguy8728,0,Netral,si Refly harun,si refly harun,"['si', 'refly', 'harun']","['si', 'refly', 'harun']",si refly harun
Krna sudah ada jadwalnya,@permen-gpp,0,Netral,Krna sudah ada jadwalnya,krna sudah ada jadwalnya,"['krna', 'sudah', 'ada', 'jadwalnya']","['krna', 'sudah', 'ada', 'jadwalnya']",krna sudah ada jadwal
Hukum di negeri ini yg bobrok kok nyalahin negara lain 😂😂,@ahmadmudawwam4659,2,Netral,Hukum di negeri ini yg bobrok kok nyalahin negara lain,hukum di negeri ini yg bobrok kok nyalahin negara lain,"['hukum', 'di', 'negeri', 'ini', 'yg', 'bobrok', 'kok', 'nyalahin', 'negara', 'lain']","['hukum', 'negeri', 'yg', 'bobrok', 'kok', 'nyalahin', 'negara', 'lain']",hukum negeri yg bobrok kok nyalahin negara lain
"Negara lain fokus majukan negara, kita asyik nyalahin negara lain",@Abe_Die,1,Netral,Negara lain fokus majukan negara kita asyik nyalahin negara lain,negara lain fokus majukan negara kita asyik nyalahin negara lain,"['negara', 'lain', 'fokus', 'majukan', 'negara', 'kita', 'asyik', 'nyalahin', 'negara', 'lain']","['negara', 'lain', 'fokus', 'majukan', 'negara', 'asyik', 'nyalahin', 'negara', 'lain']",negara lain fokus maju negara asyik nyalahin negara lain
"Lo yg bobrok otak nya..😡
Bukan nya ikut membela negara lo lgi di acak2, malah menyalahkan.. 
Dasar penghianat bangsa.. 😡😡😡",@DedyGhaza,0,Netral,Lo yg bobrok otak nya Bukan nya ikut membela negara lo lgi di acak malah menyalahkan Dasar penghianat bangsa,lo yg bobrok otak nya bukan nya ikut membela negara lo lgi di acak malah menyalahkan dasar penghianat bangsa,"['lo', 'yg', 'bobrok', 'otak', 'nya', 'bukan', 'nya', 'ikut', 'membela', 'negara', 'lo', 'lgi', 'di', 'acak', 'malah', 'menyalahkan', 'dasar', 'penghianat', 'bangsa']","['lo', 'yg', 'bobrok', 'otak', 'nya', 'bukan', 'nya', 'ikut', 'membela', 'negara', 'lo', 'lgi', 'acak', 'malah', 'menyalahkan', 'dasar', 'penghianat', 'bangsa']",lo yg bobrok otak nya bukan nya ikut bela negara lo lgi acak malah salah dasar penghianat bangsa
